,Front,Back,Audio
0,they win some they lose some,ils en gagnent et en perdent,[sound:ils en gagnent et en perdent.mp3]
1,going to realize there's not as much,va se rendre compte qu'il n'y a pas autant de,[sound:va se rendre compte qu'il n'y a pas autant de.mp3]
2,a lot of the time they're not,"la plupart du temps, ils ne sont pas","[sound:la plupart du temps, ils ne sont pas.mp3]"
3,some they win some they lose ,certains gagnent d'autres perdent ,[sound:certains gagnent d'autres perdent .mp3]
 4,out a day in their life ,par jour dans leur vie ,[sound:par jour dans leur vie .mp3]
5,we don't know whether or not ,nous ne savons pas si oui ou non ,[sound:nous ne savons pas si oui ou non .mp3]
6,you didn't research a thing about ,vous n'avez pas fait de recherches sur ,[sound:vous n'avez pas fait de recherches sur .mp3]
7,you're going to be every single ,vous allez être tout le temps ,[sound:vous allez être tout le temps .mp3]
8,win some they lose some they ,"gagner un peu, perdre un peu, ils ","[sound:gagner un peu, perdre un peu, ils .mp3]"
9,going to realize there's not as ,va se rendre compte qu'il n'y a pas autant de ,[sound:va se rendre compte qu'il n'y a pas autant de .mp3]
10,lot of the time they're not ,"souvent, ils ne sont pas ","[sound:souvent, ils ne sont pas .mp3]"
11,a lot of the time they're ,souvent qu'ils sont ,[sound:souvent qu'ils sont .mp3]
12,a ton of them who have ,une tonne d'entre eux qui ont ,[sound:une tonne d'entre eux qui ont .mp3]
13,to realize there's not as much ,de se rendre compte qu'il n'y a pas autant de ,[sound:de se rendre compte qu'il n'y a pas autant de .mp3]
14,they win some they lose some ,"ils gagnent un peu, ils perdent un peu ","[sound:ils gagnent un peu, ils perdent un peu .mp3]"
15,the top 1% of female athletes ,le 1% des meilleures athlètes féminines ,[sound:le 1% des meilleures athlètes féminines .mp3]
16,and as it currently stands ,et en l'état actuel des choses ,[sound:et en l'état actuel des choses .mp3]
17,a day in their life ,un jour dans leur vie ,[sound:un jour dans leur vie .mp3]
18,they're within the normal range ,elles se situent dans la fourchette normale ,[sound:elles se situent dans la fourchette normale .mp3]
19,didn't research a thing about ,n'a fait aucune recherche sur ,[sound:n'a fait aucune recherche sur .mp3]
20,some they lose some they ,certains perdent d'autres sont ,[sound:certains perdent d'autres sont .mp3]
21,some they win some they ,d'autres gagnent d'autres encore ,[sound:d'autres gagnent d'autres encore .mp3]
22,out a day in their ,par jour dans leur ,[sound:par jour dans leur .mp3]
23,be drops in terms of ,être des gouttes d'eau en termes de ,[sound:être des gouttes d'eau en termes de .mp3]
24,the top 1% of female ,les 1% de femmes les plus performantes ,[sound:les 1% de femmes les plus performantes .mp3]
25,don't know whether or not ,ne savent pas si elles sont ou non ,[sound:ne savent pas si elles sont ou non .mp3]
26,of the time they're not ,"du temps, elles ne sont pas ","[sound:du temps, elles ne sont pas .mp3]"
27,they win some they lose,"elles gagnent, d'autres perdent","[sound:elles gagnent, d'autres perdent.mp3]"
28,you're going to be every ,vous serez tous ,[sound:vous serez tous .mp3]
29,lot of the time they're ,"beaucoup de temps, elles vont ","[sound:beaucoup de temps, elles vont .mp3]"
30,going to realize there's not ,de se rendre compte qu'il n'y a pas ,[sound:de se rendre compte qu'il n'y a pas .mp3]
31,going to be every single ,il n'y aura pas tous les ,[sound:il n'y aura pas tous les .mp3]
32,going to be able to ,on ne pourra pas ,[sound:on ne pourra pas .mp3]
33,we don't know whether or ,nous ne savons pas si ou ,[sound:nous ne savons pas si ou .mp3]
34,that there's going to be ,qu'il y aura ,[sound:qu'il y aura .mp3]
35,a lot of the time ,souvent ,[sound:souvent .mp3]
36,ton of them who have ,tonnes d'entre eux qui ont ,[sound:tonnes d'entre eux qui ont .mp3]
37,and so when you try ,et donc quand vous essayez ,[sound:et donc quand vous essayez .mp3]
38,you didn't research a thing ,vous n'avez fait aucune recherche ,[sound:vous n'avez fait aucune recherche .mp3]
39,to realize there's not as ,de réaliser qu'il n'y a pas autant de ,[sound:de réaliser qu'il n'y a pas autant de .mp3]
40,and all that good stuff ,et toutes ces bonnes choses ,[sound:et toutes ces bonnes choses .mp3]
41,lose some they win some ,"on en perd, on en gagne ","[sound:on en perd, on en gagne .mp3]"
42,top 1% of female athletes ,1% des athlètes féminines les plus performantes ,[sound:1% des athlètes féminines les plus performantes .mp3]
43,a ton of them who ,une tonne d'entre elles qui ,[sound:une tonne d'entre elles qui .mp3]
44,win some they lose some ,"gagnent un peu, perdent un peu ","[sound:gagnent un peu, perdent un peu .mp3]"
45,realize there's not as much ,réalisent qu'il n'y en a pas autant ,[sound:réalisent qu'il n'y en a pas autant .mp3]
46,Translated with Deepdl,Traduit avec DeepL.com (version gratuite),[sound:Traduit avec DeepL.com (version gratuite).mp3]
